Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
American Desi,2001,100 min,6.6,"1,583","Comedy, Drama, Romance            ",hindi
Chettayees,2012,-,4.7,134,Family            ,malayalam
Ambalakkara Panchayath,1988,-,-,-,-,malayalam
Khape,,-,-,-,Drama            ,gujarati
Supportive Men,2014 TV Short,21 min,-,-,"Documentary, Short, Family            ",nepali
Vivash,,-,-,-,-,hindi
 Alif Laila,1997–2002,-,-,-,"Adventure, Fantasy            ",urdu
Poila April,2021,-,-,-,Drama            ,bengali
Bachelor Husband,1950,-,-,-,-,hindi
Oru Nadigai Natakam Pakiral,1978,131 min,6.2,12,-,tamil
Dunia Gol Hai,1974,-,-,-,-,urdu
Chalta Purza,1958,-,-,-,Fantasy            ,hindi
Hichki,2018,116 min,7.5,"10,905","Comedy, Drama            ",hindi
Lover Boy,1985,-,4.1,19,"Drama, Romance            ",hindi
Babul,1986,162 min,4.8,9,Drama            ,hindi
Babu,2020,26 min,-,-,"Short, Drama            ",nepali
Swabhimaan,2019,122 min,-,-,Drama            ,gujarati
Meera,1947,120 min,7.7,14,-,hindi
Red Indians,2001,-,4.7,15,-,malayalam
Navabharata,1988,-,-,-,-,kannada
Tribhanga,2021,95 min,6.1,"2,406","Drama, Family            ",hindi
Sri Bannari Amman,2002,149 min,-,-,Drama            ,tamil
Dear Love,2020– ,-,-,-,-,nepali
Apoorva Mahaan,2015,135 min,-,-,Drama            ,tamil
Haidar Sultan,1982,-,-,-,"Action, Drama            ",punjabi
3 Monkeys,2020,131 min,6.5,82,Drama            ,telugu
Carbon,I 2018,146 min,6.9,"1,115","Adventure, Thriller            ",malayalam
Kaapalika,1973,131 min,7.8,5,-,malayalam
Karunamayi,1987,137 min,-,-,-,kannada
Phone Bhoot,2021,-,-,-,"Comedy, Horror            ",hindi
Aag aur Angaray,1990,-,-,-,Action            ,hindi
Athmasakhi,2016– ,-,-,-,-,malayalam
Vachikava,2014,-,-,-,Drama            ,tamil
Krishna Arjun,2004,-,-,-,Action            ,hindi
Rahi,1953,139 min,6.9,27,Drama            ,hindi
Chaukat Raja,1991,141 min,7.4,214,Family            ,marathi
School Master,2010,143 min,-,-,Drama            ,kannada
Halla Gulla,2015,-,5.2,77,"Action, Comedy            ",urdu
Monopoly the Game of Money,2012,-,-,-,Thriller            ,hindi
Maga Maharaju,1983,-,6.8,30,"Comedy, Drama, Romance            ",telugu
Band Baaja Babuchak,2017,123 min,-,-,Comedy            ,gujarati
Bebbuli Veta,1985,-,-,-,-,telugu
Gita,2008,-,-,-,Drama            ,telugu
Kusruthi Kuruppu,1998,135 min,5.8,40,"Comedy, Drama            ",malayalam
Mr. and Mrs. Iyer,2002,120 min,7.9,"4,681",Drama            ,tamil
 Siyaasat,2014– ,-,-,-,History            ,urdu
Inth Ka Jawab Patthar,2002,-,3.2,9,"Musical, Action            ",hindi
Qalb,,-,-,-,"Drama, Romance            ",malayalam
Nisithe,1963,-,7.2,10,Drama            ,bengali
Cabbie,2019,19 min,-,-,"Short, Horror            ",nepali
Advaitham,1991,181 min,7,275,"Action, Crime, Drama            ",malayalam
Maruppacha,1982,-,-,-,-,malayalam
Kachehari,1994,-,6.4,14,Action            ,punjabi
Kismet Road,2004– ,30 min,-,-,Drama            ,urdu
Fever,2009,-,8.5,8,"Short, Fantasy            ",nepali
Kaashi Amarnath,2017,162 min,4.7,11,"Action, Drama, Romance            ",bhojpuri
Afsana Dilwalon Ka,2001,195 min,3.6,"1,024","Drama, Romance            ",urdu
Paradise Street,,-,-,-,"Comedy, Romance, Thriller            ",hindi
Namukkore Aakasham,2015,115 min,-,-,Drama            ,malayalam
Argentina Fans Kaattoorkadavu,2019,140 min,4.7,319,"Drama, Sport            ",malayalam
Mr. X,2015,133 min,3.8,"1,816","Action, Drama, Sci-Fi            ",hindi
Nakhuda,1968,-,-,-,-,urdu
Pakhandi,1984,138 min,6.5,26,Drama            ,hindi
Ini Ethra Sandhyakal,1979,-,-,-,-,malayalam
Bachchan,2013,145 min,6.6,926,"Action, Crime, Thriller            ",kannada
Desi Kattey,2014,139 min,4,125,Action            ,hindi
Vaddante Dabbu,1954,139 min,6.6,10,"Comedy, Drama            ",telugu
Nooran,1957,-,-,-,Romance            ,punjabi
Murderer,1935,-,-,-,-,hindi
Tharangam,2017,153 min,6.3,478,"Action, Comedy            ",malayalam
Zunjar,2003,-,-,-,-,marathi
Pyase Nain,1989,-,-,-,Drama            ,hindi
Anokha Chamatkar,1988,-,-,-,Drama            ,hindi
Vasudhaika 1957,2016,-,-,-,Horror            ,telugu
Insaan Aur Shaitan,1970,-,5.1,14,Action            ,hindi
Sapthagiri LLB,2017,138 min,7.2,56,"Comedy, Drama            ",telugu
Prem Vidrohi,2012,-,-,-,Action            ,bhojpuri
Manamantha,2016,164 min,7.7,840,Drama            ,telugu
2-Aug,2012,-,4.2,9,Thriller            ,hindi
Ponge Ezhu Manohara,2015,-,-,-,"Comedy, Drama            ",tamil
Maayon,,-,-,-,"Mystery, Thriller            ",tamil
1:13:7 Ek Tera Saath,2016,120 min,5.7,57,Horror            ,hindi
Diyar Bhojai,1980,-,-,-,Romance            ,gujarati
Sair-E-Paristan,1958,-,-,-,Fantasy            ,hindi
Lalkare Sheran De,1994,117 min,-,-,Action            ,punjabi
Azad Champion,1968,-,-,-,Action            ,hindi
Thazampoo,1965,-,6.8,6,-,tamil
Haseena 420,1988,-,6.2,5,-,urdu
Record,2019,81 min,-,-,Horror            ,urdu
Raogari Illu,1988,-,-,-,"Comedy, Drama            ",telugu
Proud to Be a Sikh,2014,92 min,7.2,20,Drama            ,punjabi
Paranju Theeratha Visheshangal,2007,-,6.3,6,-,malayalam
Banna Bannada Baduku,2017,-,-,-,Drama            ,kannada
Aickarakkonathe Bhishaguaranmaar,2018,144 min,7.8,239,Drama            ,malayalam
Laxmi,1957,118 min,-,-,"Drama, Family            ",hindi
Patukunte Padivelu,1967,145 min,-,-,Drama            ,telugu
Radha Ghelo Kan,1991,-,-,-,Drama            ,gujarati
"U, Bomsi N Me",2005,-,7.4,13,Comedy            ,hindi
Les Larmes Noires,2015,127 min,-,-,Documentary            ,urdu
Baeelveda,1979,-,-,-,-,marathi
Balakot: the true story,2020,-,-,-,Action            ,hindi
Maan Marjada,1991,137 min,-,-,Drama            ,bengali
Hera Pheri,2000,156 min,8.2,"58,037","Action, Comedy, Crime            ",hindi
Raagangal Maruvathillai,1983,-,7.2,5,-,tamil
Putra Badhu,1998,-,-,-,Drama            ,bengali
Naik Parveen,1975,-,-,-,-,urdu
Gollu Aur Pappu,2014,112 min,3.7,101,Comedy            ,hindi
 Alif Laila,1997–2002,-,-,-,"Adventure, Fantasy            ",urdu
Shivani,I 2019,-,-,-,Crime            ,hindi
Heer Maan Ja,2019,146 min,5.2,187,"Action, Comedy, Family            ",punjabi
Nayakudu Vinayakudu,1980,-,6,6,-,telugu
Love You to Death,2012,102 min,5.3,7,"Comedy, Thriller            ",hindi
Awara Badal,1964,134 min,5.9,14,"Action, Adventure, Drama            ",bhojpuri
Gharer Bou,1990,121 min,-,-,Drama            ,bengali
Chief Sahib,1996,-,5,37,"Action, Comedy, Romance            ",urdu
Revelations,2016,118 min,7.3,135,Drama            ,tamil
Murder,1994,101 min,-,-,"Crime, Drama, Mystery            ",kannada
Ivide Ingane,1984,101 min,-,-,"Action, Drama            ",malayalam
Porter Ponnusami,1979,-,-,-,-,tamil
Amar Premi Sheni Vijanand,1974,-,-,-,Drama            ,gujarati
Tum Hi To Ho...,2011,-,3.9,10,"Drama, Mystery, Thriller            ",hindi
Bilhana,1948,-,-,-,-,tamil
Maharathi,2008,114 min,7.1,967,"Crime, Drama, Mystery            ",hindi
Adyathe Maravi,2019,14 min,-,-,"Short, Thriller            ",malayalam
Hum Ek Hain,1961,-,-,-,Drama            ,urdu
Puzha,1980,-,-,-,-,malayalam
Common Opinion,2016,10 min,-,-,"Documentary, Short            ",urdu
Paandav,1995,132 min,4.1,533,"Action, Drama            ",hindi
Khaidi,1987,-,-,-,-,telugu
Savitri,1937,136 min,-,-,Fantasy            ,hindi
Raam,2009,149 min,6.6,136,"Comedy, Drama            ",kannada
Police Lock Up,1992,-,-,-,Action            ,hindi
